Species	Weight	Length1	Length2	Length3	Height	Width
Bream	242	23	25	30	12	4
Bream	290	24	26	31	12	4
Bream	340	24	27	31	12	5
Bream	363	26	29	34	13	4
Bream	430	27	29	34	12	5
Bream	450	27	30	35	14	5
Bream	500	27	30	35	14	5
Bream	390	28	30	35	13	5
Bream	450	28	30	35	14	5
Bream	500	29	31	36	14	5
Bream	475	28	31	36	14	5
Bream	500	29	31	36	14	5
Bream	500	29	32	36	14	4
Bream	340	30	32	37	14	5
Bream	600	29	32	37	15	5
Bream	600	29	32	37	15	6
Bream	700	30	33	38	15	5
Bream	700	30	33	39	15	5
Bream	610	31	34	39	16	5
Bream	650	31	34	39	14	6
Bream	575	31	34	40	15	6
Bream	685	31	34	39	16	5
Bream	620	32	35	40	16	5
Bream	680	32	35	41	15	6
Bream	700	32	35	41	16	6
Bream	725	32	35	41	16	6
Bream	720	32	35	41	16	6
Bream	714	33	36	42	17	6
Bream	850	33	36	42	17	6
Bream	1000	34	37	43	19	7
Bream	920	35	39	44	18	6
Bream	955	35	39	44	18	6
Bream	925	36	40	45	19	7
Bream	975	37	41	46	19	7
Bream	950	38	41	47	18	6
Roach	40	13	14	16	4	2
Roach	69	17	18	20	5	3
Roach	78	18	19	21	6	3
Roach	87	18	20	22	6	3
Roach	120	19	20	22	6	4
Roach	0	19	21	23	6	3
Roach	110	19	21	23	6	3
Roach	120	19	21	24	6	3
Roach	150	20	22	25	6	4
Roach	145	21	22	24	7	4
Roach	160	21	23	25	7	4
Roach	140	21	23	25	7	3
Roach	160	21	23	25	6	4
Roach	169	22	24	27	8	4
Roach	161	22	23	27	7	4
Roach	200	22	24	27	7	4
Roach	180	24	25	28	7	4
Roach	290	24	26	29	9	4
Roach	272	25	27	31	9	5
Roach	390	30	32	35	9	5
Whitefish	270	24	26	29	8	4
Whitefish	270	24	27	29	8	4
Whitefish	306	26	28	31	9	5
Whitefish	540	29	31	34	11	7
Whitefish	800	34	36	40	12	7
Whitefish	1000	37	40	44	12	7
Parkki	55	14	15	17	7	2
Parkki	60	14	16	17	7	2
Parkki	90	16	18	20	7	3
Parkki	120	18	19	21	8	3
Parkki	150	18	20	22	9	3
Parkki	140	19	21	23	9	3
Parkki	170	19	21	23	9	3
Parkki	145	20	22	24	10	3
Parkki	200	21	23	26	10	4
Parkki	273	23	25	28	11	4
Parkki	300	24	26	29	11	4
Perch	6	8	8	9	2	1
Perch	32	13	14	15	4	2
Perch	40	14	15	16	4	2
Perch	52	15	16	17	5	3
Perch	70	16	17	19	5	3
Perch	100	16	18	19	5	3
Perch	78	17	19	19	5	3
Perch	80	17	19	20	6	3
Perch	85	18	20	21	5	3
Perch	85	18	20	21	5	3
Perch	110	19	21	23	6	4
Perch	115	19	21	23	6	3
Perch	125	19	21	23	6	4
Perch	130	19	21	23	6	4
Perch	120	20	22	24	6	3
Perch	120	20	22	24	6	4
Perch	130	20	22	24	6	4
Perch	135	20	22	24	6	4
Perch	110	20	22	24	6	4
Perch	130	21	23	24	6	4
Perch	150	21	23	24	7	4
Perch	145	21	23	24	6	4
Perch	150	21	23	25	5	4
Perch	170	22	24	25	6	4
Perch	225	22	24	26	7	4
Perch	145	22	24	26	6	4
Perch	188	23	25	26	7	4
Perch	180	23	25	27	6	4
Perch	197	24	26	27	7	4
Perch	218	25	27	28	7	4
Perch	300	25	27	29	8	5
Perch	260	25	28	29	7	4
Perch	265	25	28	29	7	4
Perch	250	25	28	29	7	5
Perch	250	26	28	29	8	4
Perch	300	27	29	30	8	5
Perch	320	28	30	32	8	5
Perch	514	31	33	34	10	6
Perch	556	32	35	37	10	6
Perch	840	33	35	37	11	8
Perch	685	34	37	39	11	7
Perch	700	34	36	38	11	7
Perch	700	35	37	39	11	6
Perch	690	35	37	39	11	6
Perch	900	37	39	41	11	7
Perch	650	37	39	41	11	6
Perch	820	37	39	41	12	7
Perch	850	37	40	42	12	7
Perch	900	37	40	43	12	7
Perch	1015	37	40	42	12	7
Perch	820	37	40	43	11	7
Perch	1100	39	42	45	13	7
Perch	1000	40	43	45	12	7
Perch	1100	40	43	46	13	7
Perch	1000	40	44	46	13	8
Perch	1000	41	44	47	12	8
Pike	200	30	32	35	6	3
Pike	300	32	34	38	6	4
Pike	300	33	35	39	6	4
Pike	300	35	37	40	6	4
Pike	430	36	38	41	7	5
Pike	345	36	39	41	6	4
Pike	456	40	43	46	7	4
Pike	510	40	43	46	7	4
Pike	540	40	43	46	8	5
Pike	500	42	45	48	7	5
Pike	567	43	46	49	8	5
Pike	770	45	48	51	8	5
Pike	950	48	52	55	9	6
Pike	1250	52	56	60	11	7
Pike	1600	56	60	64	10	6
Pike	1550	56	60	64	10	6
Pike	1650	59	63	68	11	7
Smelt	7	9	10	11	2	1
Smelt	8	10	11	12	2	1
Smelt	7	10	11	12	2	1
Smelt	10	10	11	12	2	1
Smelt	10	11	11	12	2	1
Smelt	9	11	11	13	2	1
Smelt	10	11	12	13	2	1
Smelt	10	11	12	13	2	1
Smelt	10	11	12	13	2	1
Smelt	12	12	12	13	2	1
Smelt	13	12	12	14	2	1
Smelt	12	12	13	14	2	1
Smelt	20	13	14	15	3	2
Smelt	20	14	15	16	3	2
